Date,Open,High,Low,Close,Volume,fng_score,avg_sentiment,news_count,price_change,rsi,volatility_7d,sentiment_sma3,price_change_lag1,sentiment_lag1,Cluster,Risk_Level
2021-12-23,48626.34375,51332.33984375,48065.8359375,50784.5390625,28223878108,34,-0.4961441159248352,2,0.04433669194360079,36.29024693035862,0.030182004175643904,-0.16538137197494507,-0.006295931447672265,0.0,0,Low Risk
2021-12-24,50806.05078125,51814.02734375,50514.49609375,50822.1953125,24367912228,41,0.6662902235984802,6,0.0007414904357732066,37.556950146424704,0.027186912470238248,0.05671536922454834,0.04433669194360079,-0.4961441159248352,0,Low Risk
2021-12-25,50854.91796875,51176.59765625,50236.70703125,50429.859375,19030650914,39,0.0,1,-0.007719775485643066,58.669323693506364,0.0225060742549308,0.05671536922454834,0.0007414904357732066,0.6662902235984802,1,Medium Risk
2021-12-27,50802.609375,51956.328125,50499.46875,50640.41796875,24324345758,40,0.2498825192451477,4,0.004175276242280868,60.82787059759528,0.022724078979505284,0.3053909142812093,-0.007719775485643066,0.0,1,Medium Risk
2021-12-28,50679.859375,50679.859375,47414.2109375,47588.85546875,33430376883,41,-0.7484204471111298,4,-0.06025942562091624,44.66386290938433,0.03556086899695655,-0.16617930928866068,0.004175276242280868,0.2498825192451477,0,Low Risk
2021-12-29,47623.87109375,48119.7421875,46201.49609375,46444.7109375,30049226299,27,-0.33259338140487665,3,-0.02404227880624954,49.03302168563277,0.03148622000798554,-0.27704376975695294,-0.06025942562091624,-0.7484204471111298,0,Low Risk
2021-12-30,46490.60546875,47879.96484375,46060.3125,47178.125,26686491018,22,0.0004419088363646906,4,0.01579112126431248,51.795562430790106,0.032654617461600643,-0.3601906398932139,-0.02404227880624954,-0.33259338140487665,0,Low Risk
2021-12-31,47169.37109375,48472.52734375,45819.953125,46306.4453125,36974172400,28,-0.18634282052516934,4,-0.018476352917798256,40.96490145215919,0.024919184725532898,-0.1728314310312271,0.01579112126431248,0.0004419088363646906,0,Low Risk
2022-01-01,46311.74609375,47827.3125,46288.484375,47686.8125,24582667004,21,0.0,1,0.029809396471367267,50.073830823175236,0.029548983787311075,-0.06196697056293488,-0.018476352917798256,-0.18634282052516934,0,Low Risk
2022-01-03,47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362,29,-7.224082946799548e-06,5,-0.025765935026586195,50.89821196481006,0.0302311487283144,-0.06211668153603871,0.029809396471367267,0.0,0,Low Risk
2022-01-04,46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905,23,0.0005545914173126498,4,-0.012065555013512697,46.641924832336194,0.02946323981233843,0.0001824557781219501,-0.025765935026586195,-7.224082946799548e-06,0,Low Risk
2022-01-05,45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859,24,0.7490683943033218,4,-0.050734060615097554,39.94144893940278,0.027070432612342085,0.2498719205458959,-0.012065555013512697,0.0005545914173126498,0,Low Risk
2022-01-06,43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289,15,-0.06750327348709104,9,-0.009366159015892994,30.503008726982912,0.02656508377047645,0.22737323741118118,-0.050734060615097554,0.7490683943033218,2,High Risk
2022-01-07,43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520,18,-0.14239359753472466,7,-0.03714070469186992,28.05066034422879,0.0254728323719926,0.1797238410938354,-0.009366159015892994,-0.06750327348709104,0,Low Risk
